factor,image_index,variance
0.8,1,4122.275375082158
0.8,2,3440.2669770618522
0.8,3,3818.364994032061
0.8,4,2519.7435498160776
0.8,5,2878.7322699376236
0.8,6,3321.29406685289
1.2,1,4162.084210421061
1.2,2,3501.3416245090193
1.2,3,3874.826265527736
1.2,4,2552.4155153723987
1.2,5,2890.789062257143
1.2,6,3324.1854096529423
